id,date,latitude,longitude,magnitude
12,1965-01-24,-2.608,125.952,8.2
17,1965-02-04,51.251,178.715,8.7
539,1966-10-17,-10.665,-78.228,8.1
912,1968-05-16,40.860,143.435,8.2
1664,1970-07-31,-1.597,-72.532,8
1984,1971-07-14,-5.524,153.850,8
2009,1971-07-26,-4.817,153.172,8.1
2531,1972-12-02,6.405,126.640,8
3771,1976-01-14,-28.427,-177.657,8
7416,1985-03-03,-33.135,-71.871,8
7700,1985-09-19,18.190,-102.533,8
7960,1986-05-07,51.520,-174.776,8
9485,1989-05-23,-52.341,160.568,8.2
11960,1994-06-09,-13.841,-67.553,8.2
12120,1994-10-04,43.773,147.321,8.3
12572,1995-07-30,-23.340,-70.294,8
12704,1995-10-09,19.055,-104.205,8
12893,1996-02-17,-0.891,136.952,8.2
13926,1998-03-25,-62.877,149.527,8.1
15117,2000-11-16,-3.980,152.169,8
15442,2001-06-23,-16.265,-73.641,8.4
16447,2003-09-25,41.815,143.910,8.3
17081,2004-12-23,-49.312,161.345,8.1
17084,2004-12-26,3.295,95.982,9.1
17330,2005-03-28,2.085,97.108,8.6
17859,2006-05-03,-20.187,-174.123,8
18112,2006-11-15,46.592,153.266,8.3
18212,2007-01-13,46.243,154.524,8.1
18347,2007-04-01,-8.466,157.043,8.1
18574,2007-08-15,-13.386,-76.603,8
18616,2007-09-12,-4.438,101.367,8.4
19662,2009-09-29,-15.489,-172.095,8.1
19929,2010-02-27,-36.122,-72.898,8.8
20502,2011-03-11,38.297,142.373,9.1
21220,2012-04-11,2.327,93.063,8.6
21225,2012-04-11,0.802,92.463,8.2
21590,2013-02-06,-10.799,165.114,8
21766,2013-05-24,54.892,153.221,8.3
22121,2014-04-01,-19.610,-70.769,8.2
22792,2015-09-16,-31.573,-71.674,8.3
